SQL,cardinality
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 70907;",6747781
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 1983;",5432558
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 78749;",6820870
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 1;",3305625
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 187760 AND kind_id <= 2;",53601
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4 AND keyword_id > 69246;",278500
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 102164;",404855
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 7;",5831280
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6 AND keyword_id > 145280;",213642
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 150018 AND kind_id < 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 56501;",868614
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 54121;",5
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 230918 AND kind_id = 1;",5021
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 102139;",404955
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 1;",4114291
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 123118;",16
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 110323;",368311
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 8;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 73393;",7419910
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 3 AND keyword_id != 143548;",2993244
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 135197;",255054
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 104138;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 183700 AND kind_id != 3;",66351
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 2 AND keyword_id != 129732;",4114291
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 4;",1729449
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 4 AND keyword_id > 86313;",381194
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 150391 AND kind_id > 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 142707 AND kind_id > 3;",2606050
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 138351;",243641
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 24751;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 160251;",7291259
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 3 AND keyword_id != 215559;",387192
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 12595;",4642096
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 4 AND keyword_id != 75995;",5690458
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 187691;",7356094
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 6 AND keyword_id <= 210307;",1588637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 1;",3305625
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 3 AND keyword_id >= 153933;",136999
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 2;",7107536
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 28249 AND kind_id = 7;",1588634
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 101660;",408215
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id = 20686;",59
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 212100;",7391993
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 6 AND keyword_id >= 94755;",118521
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 90580;",6932565
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 2;",4114291
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6 AND keyword_id > 113667;",293643
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 3;",2993245
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 8;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 7;",1588637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 227843;",7410515
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 8 AND keyword_id < 58088;",6570374
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 6;",7279104
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 7;",1588636
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 107698 AND kind_id = 2;",312380
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6 AND keyword_id >= 232256;",4591
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 209268;",31605
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 8 AND keyword_id < 213247;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 106330 AND kind_id <= 6;",5518456
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 95882;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 212458;",7392450
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 167668 AND kind_id != 8;",106519
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 6;",1588637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4;",2606051
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 206622;",7384864
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 56841;",863743
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 7;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 110632 AND kind_id = 2;",4681
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 111882 AND kind_id >= 3;",2868259
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 229900;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 6;",140812
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 181124;",75805
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 6 AND keyword_id != 153664;",1729449
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 133475 AND kind_id < 3;",191822
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 128683;",281768
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 6 AND keyword_id > 107003;",365731
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 184926 AND kind_id <= 1;",4056354
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 88370;",506696
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 123078;",7111387
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 132691;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 3 AND keyword_id = 34772;",3
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 2 AND keyword_id != 226537;",4114290
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id <= 35976;",5353281
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 220189 AND kind_id = 1;",4099123
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 182783;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 153040;",158912
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 231485 AND kind_id != 3;",5061
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 53694;",7419914
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 58540 AND kind_id > 3;",2269100
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 126872;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 2 AND keyword_id <= 53305;",2587210
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 44945;",1076627
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 152812;",7260045
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 2024;",5417820
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 2;",3305625
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 70008 AND kind_id != 3;",654257
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 42920;",1117854
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 177496 AND kind_id > 4;",2467
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 127630 AND kind_id = 8;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 165927 AND kind_id <= 7;",7308656
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 3;",4813865
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 234441 AND kind_id <= 1;",4114290
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 6;",5690467
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 1 AND keyword_id != 58161;",3305623
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 119585 AND kind_id <= 4;",261584
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6;",5831279
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 57357 AND kind_id >= 8;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id > 40045;",1096617
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 230172 AND kind_id = 6;",140610
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 119317 AND kind_id != 7;",5555003
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 154602 AND kind_id <= 2;",124832
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 58673;",7419893
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 100393 AND kind_id <= 8;",7419912
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 97068 AND kind_id < 2;",3847954
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 1 AND keyword_id <= 40885;",2755600
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 218295 AND kind_id < 4;",4813864
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 6 AND keyword_id <= 213292;",140119
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 4 AND keyword_id <= 121177;",4582763
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 18331;",100
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 94712 AND kind_id != 6;",6838585
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 7 AND keyword_id < 135703;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 149510 AND kind_id >= 4;",21008
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 173678;",7328434
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4 AND keyword_id > 112067;",107823
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 112253 AND kind_id = 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 45955 AND kind_id > 1;",3305597
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 80824;",7419904
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 137929;",7175041
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 1 AND keyword_id <= 693;",373887
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 226190;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 58156;",6570719
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id < 161325;",7294939
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id < 136769;",6314411
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 59445 AND kind_id >= 2;",3305614
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 1;",7419916
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 48735;",9
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 2 AND keyword_id > 3607;",1956772
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 2 AND keyword_id < 33825;",5776456
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 231306;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 3;",387194
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 4 AND keyword_id > 92125;",313602
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 223071 AND kind_id != 6;",7264763
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 6 AND keyword_id >= 156977;",136315
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 235905;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 148310 AND kind_id > 4;",1721498
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 231999 AND kind_id != 8;",7415051
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 3 AND keyword_id < 138608;",4620329
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 131165;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 17269 AND kind_id = 6;",54457
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 3 AND keyword_id >= 74606;",610925
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 111196 AND kind_id > 7;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 4 AND keyword_id >= 5841;",3034076
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 213798;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 170519;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 70766;",12
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 2 AND keyword_id <= 37455;",3727291
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 235112;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 180483 AND kind_id >= 8;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 191651 AND kind_id >= 2;",3296592
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 61041 AND kind_id < 6;",5690467
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 177703;",7419911
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 105661;",386961
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 37053 AND kind_id != 4;",1168550
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 86097;",520705
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 6 AND keyword_id <= 52899;",1437025
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 107579;",7040958
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 227921;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 157108;",7419913
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id >= 199738;",41787
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id != 133815;",7419915
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 138858;",7177782
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id > 3;",2606051
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 113539 AND kind_id <= 7;",7065616
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 159893;",7289890
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id != 4 AND keyword_id > 22168;",1740319
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 8 AND keyword_id = 112581;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 163849 AND kind_id <= 8;",117374
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 109866 AND kind_id <= 1;",235808
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 18340;",2142616
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 186883;",7354622
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 171079 AND kind_id > 2;",15863
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 6 AND keyword_id <= 5418;",49098
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 2 AND keyword_id >= 35513;",724733
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 146156 AND kind_id > 3;",2575450
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 118534 AND kind_id != 1;",3195061
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 180036 AND kind_id <= 4;",75590
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 188694 AND kind_id != 3;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 4 AND keyword_id >= 187508;",6043
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 67920 AND kind_id != 4;",5882216
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 6 AND keyword_id < 221142;",5814501
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id > 231637;",5256
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 222418 AND kind_id > 2;",2990893
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id >= 7 AND keyword_id != 217913;",1588637
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 120556;",7100123
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id <= 87385;",6905191
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 4;",876602
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id <= 7 AND keyword_id <= 52626;",6487159
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 166556;",109356
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 138867 AND kind_id > 2;",1
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id = 7 AND keyword_id > 112789;",61592
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id >= 214374;",25110
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND keyword_id = 189241 AND kind_id > 1;",2
"SELECT count(*) FROM title t1,movie_keyword t2 WHERE t1.id=t2.movie_id AND kind_id < 6 AND keyword_id < 66572;",5177544
